,DTW_D,ROCKET,HC2,Hydra,MR+Hydra,DLinear,LightTS,MTS-Mixer,TimesNet,ModernTCN,TSLANet,TimeMixer++,FEDformer,ETSformer,Crossformer,PatchTST,GPT4TS,iTransformer,InterpGN,TSCMamba,MambaSL
EC,32.31939163,44.48669202,52.85171103,54.37262357,60.07604563,31.17870722,32.31939163,30.79847909,33.46007605,32.31939163,31.9391635,34.60076046,33.84030418,33.07984791,43.3460076,32.69961977,32.31939163,31.9391635,28.8973384,30.79847909,42.58555133
FD,52.86606129,61.6061294,61.37911464,60.98183882,61.29398411,69.49489217,68.47332577,68.53007946,70.14755959,66.99772985,66.96935301,69.66515323,69.89216799,68.33144154,69.63677639,68.07604994,68.61520999,68.41657208,63.79114642,70.20431328,69.29625426
HW,60.70588235,59.29411765,56,56.35294118,53.52941176,23.76470588,25.05882353,19.64705882,37.52941176,30.11764706,62,33.64705882,33.41176471,35.64705882,30.35294118,29.52941176,34.11764706,31.29411765,58.70588235,45.05882353,60.82352941
HB,71.70731707,75.6097561,78.53658537,76.58536585,77.07317073,76.58536585,77.56097561,79.02439024,83.90243902,78.04878049,79.51219512,80.48780488,78.04878049,78.53658537,79.02439024,73.65853659,79.02439024,78.04878049,80.48780488,78.53658537,80
JV,95.94594595,83.78378378,98.37837838,97.83783784,98.37837838,96.48648649,96.75675676,95.94594595,98.64864865,98.64864865,98.91891892,99.18918919,97.56756757,98.37837838,98.37837838,97.02702703,98.10810811,98.10810811,99.72972973,98.37837838,98.64864865
PEMS,71.0982659,84.39306358,97.68786127,98.26589595,82.65895954,82.65895954,87.86127168,82.08092486,87.86127168,86.70520231,89.01734104,89.01734104,89.01734104,87.86127168,89.59537572,89.01734104,88.43930636,91.32947977,86.12716763,90.1734104,85.54913295
SRS1,77.47440273,85.66552901,89.07849829,86.6894198,94.88054608,92.83276451,92.83276451,78.83959044,92.15017065,93.51535836,89.76109215,92.15017065,75.08532423,92.15017065,93.85665529,89.07849829,93.17406143,93.85665529,90.44368601,92.83276451,92.49146758
SRS2,53.88888889,55.55555556,54.44444444,58.88888889,55,57.22222222,59.44444444,58.33333333,60,60,63.88888889,60.55555556,59.44444444,60,61.66666667,61.66666667,60.55555556,58.88888889,58.33333333,62.22222222,65
SAD,97.22601182,99.22692133,99.1359709,99.1359709,99.04502046,96.95316053,98.22646658,99.45429741,99.54524784,99.49977262,98.04456571,99.54524784,99.45429741,98.99954525,98.8631196,98.81764438,99.59072306,99.31787176,99.86357435,95.81628013,99.95452478
UW,90.3125,94.0625,94.0625,94.375,94.0625,82.8125,89.0625,83.125,88.4375,88.4375,94.375,90.625,79.6875,89.6875,88.4375,89.375,89.0625,90,88.4375,95.3125,93.4375
AWR,98.66666667,99.33333333,99.33333333,99.33333333,99.33333333,97.66666667,98.33333333,99,98.66666667,98.66666667,99.33333333,99,92.33333333,98.66666667,98.66666667,98.66666667,98.66666667,99,99,99.33333333,99.33333333
AF,20,6.666666667,20,26.66666667,6.666666667,53.33333333,73.33333333,60,66.66666667,73.33333333,66.66666667,66.66666667,73.33333333,80,73.33333333,80,66.66666667,66.66666667,46.66666667,66.66666667,53.33333333
BM,97.5,100,100,100,100,87.5,100,100,100,100,100,100,95,100,100,85,100,97.5,100,100,100
CT,98.81615599,99.30362117,99.30362117,99.1643454,99.37325905,98.11977716,98.95543175,97.98050139,98.74651811,99.30362117,99.1643454,99.37325905,97.28412256,98.46796657,98.95543175,98.39832869,99.37325905,98.88579387,99.79108635,99.51253482,99.72144847
CR,100,100,100,100,98.61111111,91.66666667,93.05555556,97.22222222,97.22222222,97.22222222,91.66666667,98.61111111,90.27777778,98.61111111,97.22222222,97.22222222,97.22222222,97.22222222,100,100,100
DDG,58,52,70,68,60,66,56,68,68,66,74,74,42,42,72,40,66,60,76,50,70
EW,61.83206107,91.60305344,97.70992366,98.47328244,98.47328244,42.7480916,54.19847328,66.41221374,63.35877863,64.1221374,81.67938931,61.06870229,63.35877863,70.99236641,58.01526718,57.2519084,66.41221374,59.54198473,82.44274809,88.54961832,83.96946565
EP,96.37681159,99.27536232,100,100,100,65.2173913,97.10144928,66.66666667,96.37681159,96.37681159,100,94.92753623,92.75362319,92.75362319,95.65217391,98.55072464,89.85507246,80.43478261,97.82608696,99.27536232,97.82608696
